gene	cites	cite_delta	cite_rank	cite_rank_delta
LOC129933619	0	-5	5475	4404
LOC129933620	0	-5	5475	4404
LOC129933621	0	-5	5475	4404
LOC129933622	0	-5	5475	4404
LOC129933623	0	-5	5475	4404
LOC129933624	0	-5	5475	4404
LOC129933625	0	-5	5475	4404
LOC129933626	0	-5	5475	4404
LOC129933627	0	-5	5475	4404
LOC129933628	0	-5	5475	4404
LOC129933629	0	-5	5475	4404
LOC129933630	0	-5	5475	4404
LOC129933631	0	-5	5475	4404
LOC129933632	0	-5	5475	4404
LOC129933633	0	-5	5475	4404
LOC129933634	0	-5	5475	4404
LOC129933635	0	-5	5475	4404
LOC129933636	0	-5	5475	4404
LOC129933637	0	-5	5475	4404
LOC129933638	0	-5	5475	4404
LOC129933639	0	-5	5475	4404
LOC129933640	0	-5	5475	4404
LOC129933641	0	-5	5475	4404
LOC129933642	0	-5	5475	4404
LOC129933643	0	-5	5475	4404
LOC129933644	0	-5	5475	4404
LOC129933645	0	-5	5475	4404
LOC129933646	0	-5	5475	4404
LOC129933647	0	-5	5475	4404
LOC129933648	0	-5	5475	4404
LOC129933649	0	-5	5475	4404
LOC129933650	0	-5	5475	4404
LOC129933651	0	-5	5475	4404
LOC129933652	0	-5	5475	4404
LOC129933653	0	-5	5475	4404
LOC129933654	0	-5	5475	4404
LOC129933655	0	-5	5475	4404
LOC129933656	0	-5	5475	4404
LOC129933657	0	-5	5475	4404
LOC129933658	0	-5	5475	4404
LOC129933659	0	-5	5475	4404
LOC129933660	0	-5	5475	4404
LOC129933661	0	-5	5475	4404
LOC129933662	0	-5	5475	4404
LOC129933663	0	-5	5475	4404
LOC129933664	0	-5	5475	4404
LOC129933665	0	-5	5475	4404
LOC129933666	0	-5	5475	4404
LOC129933667	0	-5	5475	4404
LOC129933668	0	-5	5475	4404
LOC129933669	0	-5	5475	4404
LOC129933670	0	-5	5475	4404
LOC129933671	0	-5	5475	4404
LOC129933672	0	-5	5475	4404
LOC129933673	0	-5	5475	4404
LOC129933674	0	-5	5475	4404
LOC129933675	0	-5	5475	4404
LOC129933676	0	-5	5475	4404
LOC129933677	0	-5	5475	4404
LOC129933678	0	-5	5475	4404
LOC129933679	0	-5	5475	4404
LOC129933680	0	-5	5475	4404
LOC129933681	0	-5	5475	4404
LOC129933682	0	-5	5475	4404
LOC129933683	0	-5	5475	4404
LOC129933684	0	-5	5475	4404
LOC129933685	0	-5	5475	4404
LOC129933686	0	-5	5475	4404
LOC129933687	0	-5	5475	4404
LOC129933688	0	-5	5475	4404
LOC129933689	0	-5	5475	4404
LOC129933690	0	-5	5475	4404
LOC129933691	0	-5	5475	4404
LOC129933692	0	-5	5475	4404
LOC129933693	0	-5	5475	4404
LOC129933694	0	-5	5475	4404
LOC129933695	0	-5	5475	4404
LOC129933696	0	-5	5475	4404
LOC129933697	0	-5	5475	4404
LOC129933698	0	-5	5475	4404
LOC129933699	0	-5	5475	4404
LOC129933700	0	-5	5475	4404
LOC129933701	0	-5	5475	4404
LOC129933702	0	-5	5475	4404
LOC129933703	0	-5	5475	4404
LOC129933704	0	-5	5475	4404
LOC129933705	0	-5	5475	4404
LOC129933706	0	-5	5475	4404
LOC129933707	0	-5	5475	4404
LOC129933708	0	-5	5475	4404
LOC129933709	0	-5	5475	4404
LOC129933710	0	-5	5475	4404
LOC129933711	0	-5	5475	4404
LOC129933712	0	-5	5475	4404
LOC129933713	0	-5	5475	4404
LOC129933714	0	-5	5475	4404
LOC129933715	0	-5	5475	4404
LOC129933716	0	-5	5475	4404
LOC129933717	0	-5	5475	4404
LOC129933718	0	-5	5475	4404
LOC129933719	0	-5	5475	4404
LOC129933720	0	-5	5475	4404
LOC129933721	0	-5	5475	4404
LOC129933722	0	-5	5475	4404
LOC129933723	0	-5	5475	4404
LOC129933724	0	-5	5475	4404
LOC129933725	0	-5	5475	4404
LOC129933726	0	-5	5475	4404
LOC129933727	0	-5	5475	4404
LOC129933728	0	-5	5475	4404
LOC129933729	0	-5	5475	4404
LOC129933730	0	-5	5475	4404
LOC129933731	0	-5	5475	4404
LOC129933732	0	-5	5475	4404
LOC129933733	0	-5	5475	4404
LOC129933734	0	-5	5475	4404
LOC129933735	0	-5	5475	4404
LOC129933736	0	-5	5475	4404
LOC129933737	0	-5	5475	4404
LOC129933738	0	-5	5475	4404
LOC129933739	0	-5	5475	4404
LOC129933740	0	-5	5475	4404
LOC129933741	0	-5	5475	4404
LOC129933742	0	-5	5475	4404
LOC129933743	0	-5	5475	4404
LOC129933744	0	-5	5475	4404
LOC129933745	0	-5	5475	4404
LOC129933746	0	-5	5475	4404
LOC129933747	0	-5	5475	4404
LOC129933748	0	-5	5475	4404
LOC129933749	0	-5	5475	4404
LOC129933750	0	-5	5475	4404
LOC129933751	0	-5	5475	4404
LOC129933752	0	-5	5475	4404
LOC129933753	0	-5	5475	4404
LOC129933754	0	-5	5475	4404
LOC129933755	0	-5	5475	4404
LOC129933756	0	-5	5475	4404
LOC129933757	0	-5	5475	4404
LOC129933758	0	-5	5475	4404
LOC129933759	0	-5	5475	4404
LOC129933760	0	-5	5475	4404
LOC129933761	0	-5	5475	4404
LOC129933762	0	-5	5475	4404
LOC129933763	0	-5	5475	4404
LOC129933764	0	-5	5475	4404
LOC129933765	0	-5	5475	4404
LOC129933766	0	-5	5475	4404
LOC129933767	0	-5	5475	4404
LOC129933768	0	-5	5475	4404
LOC129933769	0	-5	5475	4404
LOC129933770	0	-5	5475	4404
LOC129933771	0	-5	5475	4404
LOC129933772	0	-5	5475	4404
LOC129933773	0	-5	5475	4404
LOC129933774	0	-5	5475	4404
LOC129933775	0	-5	5475	4404
LOC129933776	0	-5	5475	4404
LOC129933777	0	-5	5475	4404
LOC129933778	0	-5	5475	4404
LOC129933779	0	-5	5475	4404
LOC129933780	0	-5	5475	4404
LOC129933781	0	-5	5475	4404
LOC129933782	0	-5	5475	4404
LOC129933783	0	-5	5475	4404
LOC129933784	0	-5	5475	4404
LOC129933785	0	-5	5475	4404
LOC129933786	0	-5	5475	4404
LOC129933787	0	-5	5475	4404
LOC129933788	0	-5	5475	4404
LOC129933789	0	-5	5475	4404
LOC129933790	0	-5	5475	4404
LOC129933791	0	-5	5475	4404
LOC129933792	0	-5	5475	4404
LOC129933793	0	-5	5475	4404
LOC129933794	0	-5	5475	4404
LOC129933795	0	-5	5475	4404
LOC129933796	0	-5	5475	4404
LOC129933797	0	-5	5475	4404
LOC129933798	0	-5	5475	4404
LOC129933799	0	-5	5475	4404
LOC129933800	0	-5	5475	4404
LOC129933801	0	-5	5475	4404
LOC129933802	0	-5	5475	4404
LOC129933803	0	-5	5475	4404
LOC129933804	0	-5	5475	4404
LOC129933805	0	-5	5475	4404
LOC129933806	0	-5	5475	4404
LOC129933807	0	-5	5475	4404
LOC129933808	0	-5	5475	4404
LOC129933809	0	-5	5475	4404
LOC129933810	0	-5	5475	4404
LOC129933811	0	-5	5475	4404
LOC129933812	0	-5	5475	4404
LOC129933813	0	-5	5475	4404
LOC129933814	0	-5	5475	4404
LOC129933815	0	-5	5475	4404
LOC129933816	0	-5	5475	4404
LOC129933817	0	-5	5475	4404
LOC129933818	0	-5	5475	4404
LOC129933819	0	-5	5475	4404
LOC129933820	0	-5	5475	4404
LOC129933821	0	-5	5475	4404
LOC129933822	0	-5	5475	4404
LOC129933823	0	-5	5475	4404
LOC129933824	0	-5	5475	4404
LOC129933825	0	-5	5475	4404
LOC129933826	0	-5	5475	4404
LOC129933827	0	-5	5475	4404
LOC129933828	0	-5	5475	4404
LOC129933829	0	-5	5475	4404
LOC129933830	0	-5	5475	4404
LOC129933831	0	-5	5475	4404
LOC129933832	0	-5	5475	4404
LOC129933833	0	-5	5475	4404
LOC129933834	0	-5	5475	4404
LOC129933835	0	-5	5475	4404
LOC129933836	0	-5	5475	4404
LOC129933837	0	-5	5475	4404
LOC129933838	0	-5	5475	4404
LOC129933839	0	-5	5475	4404
LOC129933840	0	-5	5475	4404
LOC129933841	0	-5	5475	4404
LOC129933842	0	-5	5475	4404
LOC129933843	0	-5	5475	4404
LOC129933844	0	-5	5475	4404
LOC129933845	0	-5	5475	4404
LOC129933846	0	-5	5475	4404
LOC129933847	0	-5	5475	4404
LOC129933848	0	-5	5475	4404
LOC129933849	0	-5	5475	4404
LOC129933850	0	-5	5475	4404
LOC129933851	0	-5	5475	4404
LOC129933852	0	-5	5475	4404
LOC129933853	0	-5	5475	4404
LOC129933854	0	-5	5475	4404
LOC129933855	0	-5	5475	4404
LOC129933856	0	-5	5475	4404
LOC129933857	0	-5	5475	4404
LOC129933858	0	-5	5475	4404
LOC129933859	0	-5	5475	4404
LOC129933860	0	-5	5475	4404
LOC129933861	0	-5	5475	4404
LOC129933862	0	-5	5475	4404
LOC129933863	0	-5	5475	4404
LOC129933864	0	-5	5475	4404
LOC129933865	0	-5	5475	4404
LOC129933866	0	-5	5475	4404
LOC129933867	0	-5	5475	4404
LOC129933868	0	-5	5475	4404
LOC129933869	0	-5	5475	4404
LOC129933870	0	-5	5475	4404
LOC129933871	0	-5	5475	4404
LOC129933872	0	-5	5475	4404
LOC129933873	0	-5	5475	4404
LOC129933874	0	-5	5475	4404
LOC129933875	0	-5	5475	4404
LOC129933876	0	-5	5475	4404
LOC129933877	0	-5	5475	4404
LOC129933878	0	-5	5475	4404
LOC129933879	0	-5	5475	4404
LOC129933880	0	-5	5475	4404
LOC129933881	0	-5	5475	4404
LOC129933882	0	-5	5475	4404
LOC129933883	0	-5	5475	4404
LOC129933884	0	-5	5475	4404
LOC129933885	0	-5	5475	4404
LOC129933886	0	-5	5475	4404
LOC129933887	0	-5	5475	4404
LOC129933888	0	-5	5475	4404
LOC129933889	0	-5	5475	4404
LOC129933890	0	-5	5475	4404
LOC129933891	0	-5	5475	4404
LOC129933892	0	-5	5475	4404
LOC129933893	0	-5	5475	4404
LOC129933894	0	-5	5475	4404
LOC129933895	0	-5	5475	4404
LOC129933896	0	-5	5475	4404
LOC129933897	0	-5	5475	4404
LOC129933898	0	-5	5475	4404
LOC129933899	0	-5	5475	4404
LOC129933900	0	-5	5475	4404
LOC129933901	0	-5	5475	4404
LOC129933902	0	-5	5475	4404
LOC129933903	0	-5	5475	4404
LOC129933904	0	-5	5475	4404
LOC129933905	0	-5	5475	4404
LOC129933906	0	-5	5475	4404
LOC129933907	0	-5	5475	4404
LOC129933908	0	-5	5475	4404
LOC129933909	0	-5	5475	4404
LOC129933910	0	-5	5475	4404
LOC129933911	0	-5	5475	4404
LOC129933912	0	-5	5475	4404
LOC129933913	0	-5	5475	4404
LOC129933914	0	-5	5475	4404
LOC129933915	0	-5	5475	4404
LOC129933916	0	-5	5475	4404
LOC129933917	0	-5	5475	4404
LOC129933918	0	-5	5475	4404
LOC129933919	0	-5	5475	4404
LOC129933920	0	-5	5475	4404
LOC129933921	0	-5	5475	4404
LOC129933922	0	-5	5475	4404
LOC129933923	0	-5	5475	4404
LOC129933924	0	-5	5475	4404
LOC129933925	0	-5	5475	4404
LOC129933926	0	-5	5475	4404
LOC129933927	0	-5	5475	4404
LOC129933928	0	-5	5475	4404
LOC129933929	0	-5	5475	4404
LOC129933930	0	-5	5475	4404
LOC129933931	0	-5	5475	4404
LOC129933932	0	-5	5475	4404
LOC129933933	0	-5	5475	4404
LOC129933934	0	-5	5475	4404
LOC129933935	0	-5	5475	4404
LOC129933936	0	-5	5475	4404
LOC129933937	0	-5	5475	4404
LOC129933938	0	-5	5475	4404
LOC129933939	0	-5	5475	4404
LOC129933940	0	-5	5475	4404
LOC129933941	0	-5	5475	4404
LOC129933942	0	-5	5475	4404
LOC129933943	0	-5	5475	4404
LOC129933944	0	-5	5475	4404
LOC129933945	0	-5	5475	4404
LOC129933946	0	-5	5475	4404
LOC129933947	0	-5	5475	4404
LOC129933948	0	-5	5475	4404
LOC129933949	0	-5	5475	4404
LOC129933950	0	-5	5475	4404
LOC129933951	0	-5	5475	4404
LOC129933952	0	-5	5475	4404
LOC129933953	0	-5	5475	4404
LOC129933954	0	-5	5475	4404
LOC129933955	0	-5	5475	4404
LOC129933956	0	-5	5475	4404
LOC129933957	0	-5	5475	4404
LOC129933958	0	-5	5475	4404
LOC129933959	0	-5	5475	4404
LOC129933960	0	-5	5475	4404
LOC129933961	0	-5	5475	4404
LOC129933962	0	-5	5475	4404
LOC129933963	0	-5	5475	4404
LOC129933964	0	-5	5475	4404
LOC129933965	0	-5	5475	4404
LOC129933966	0	-5	5475	4404
LOC129933967	0	-5	5475	4404
LOC129933968	0	-5	5475	4404
LOC129933969	0	-5	5475	4404
LOC129933970	0	-5	5475	4404
LOC129933971	0	-5	5475	4404
LOC129933972	0	-5	5475	4404
LOC129933973	0	-5	5475	4404
LOC129933974	0	-5	5475	4404
LOC129933975	0	-5	5475	4404
LOC129933976	0	-5	5475	4404
LOC129933977	0	-5	5475	4404
LOC129933978	0	-5	5475	4404
LOC129933979	0	-5	5475	4404
LOC129933980	0	-5	5475	4404
LOC129933981	0	-5	5475	4404
LOC129933982	0	-5	5475	4404
LOC129933983	0	-5	5475	4404
LOC129933984	0	-5	5475	4404
LOC129933985	0	-5	5475	4404
LOC129933986	0	-5	5475	4404
LOC129933987	0	-5	5475	4404
LOC129933988	0	-5	5475	4404
LOC129933989	0	-5	5475	4404
LOC129933990	0	-5	5475	4404
LOC129933991	0	-5	5475	4404
LOC129933992	0	-5	5475	4404
LOC129933993	0	-5	5475	4404
LOC129933994	0	-5	5475	4404
LOC129933995	0	-5	5475	4404
LOC129933996	0	-5	5475	4404
LOC129933997	0	-5	5475	4404
LOC129933998	0	-5	5475	4404
LOC129933999	0	-5	5475	4404
LOC129934000	0	-5	5475	4404
LOC129934001	0	-5	5475	4404
LOC129934002	0	-5	5475	4404
LOC129934003	0	-5	5475	4404
LOC129934004	0	-5	5475	4404
LOC129934005	0	-5	5475	4404
LOC129934006	0	-5	5475	4404
LOC129934007	0	-5	5475	4404
LOC129934008	0	-5	5475	4404
LOC129934009	0	-5	5475	4404
LOC129934010	0	-5	5475	4404
LOC129934011	0	-5	5475	4404
LOC129934012	0	-5	5475	4404
LOC129934013	0	-5	5475	4404
LOC129934014	0	-5	5475	4404
LOC129934015	0	-5	5475	4404
LOC129934016	0	-5	5475	4404
LOC129934017	0	-5	5475	4404
LOC129934018	0	-5	5475	4404
LOC129934019	0	-5	5475	4404
LOC129934020	0	-5	5475	4404
LOC129934021	0	-5	5475	4404
LOC129934022	0	-5	5475	4404
LOC129934023	0	-5	5475	4404
LOC129934024	0	-5	5475	4404
LOC129934025	0	-5	5475	4404
LOC129934026	0	-5	5475	4404
LOC129934027	0	-5	5475	4404
LOC129934028	0	-5	5475	4404
LOC129934029	0	-5	5475	4404
LOC129934030	0	-5	5475	4404
LOC129934031	0	-5	5475	4404
LOC129934032	0	-5	5475	4404
LOC129934033	0	-5	5475	4404
LOC129934034	0	-5	5475	4404
LOC129934035	0	-5	5475	4404
LOC129934036	0	-5	5475	4404
LOC129934037	0	-5	5475	4404
LOC129934038	0	-5	5475	4404
LOC129934039	0	-5	5475	4404
LOC129934040	0	-5	5475	4404
LOC129934041	0	-5	5475	4404
LOC129934042	0	-5	5475	4404
LOC129934043	0	-5	5475	4404
LOC129934044	0	-5	5475	4404
LOC129934045	0	-5	5475	4404
LOC129934046	0	-5	5475	4404
LOC129934047	0	-5	5475	4404
LOC129934048	0	-5	5475	4404
LOC129934049	0	-5	5475	4404
LOC129934050	0	-5	5475	4404
LOC129934051	0	-5	5475	4404
LOC129934052	0	-5	5475	4404
LOC129934053	0	-5	5475	4404
LOC129934054	0	-5	5475	4404
LOC129934055	0	-5	5475	4404
LOC129934056	0	-5	5475	4404
LOC129934057	0	-5	5475	4404
LOC129934058	0	-5	5475	4404
LOC129934059	0	-5	5475	4404
LOC129934060	0	-5	5475	4404
LOC129934061	0	-5	5475	4404
LOC129934062	0	-5	5475	4404
LOC129934063	0	-5	5475	4404
LOC129934064	0	-5	5475	4404
LOC129934065	0	-5	5475	4404
LOC129934066	0	-5	5475	4404
LOC129934067	0	-5	5475	4404
LOC129934068	0	-5	5475	4404
LOC129934069	0	-5	5475	4404
LOC129934070	0	-5	5475	4404
LOC129934071	0	-5	5475	4404
LOC129934072	0	-5	5475	4404
LOC129934073	0	-5	5475	4404
LOC129934074	0	-5	5475	4404
LOC129934075	0	-5	5475	4404
LOC129934076	0	-5	5475	4404
LOC129934077	0	-5	5475	4404
LOC129934078	0	-5	5475	4404
LOC129934079	0	-5	5475	4404
LOC129934080	0	-5	5475	4404
LOC129934081	0	-5	5475	4404
LOC129934082	0	-5	5475	4404
LOC129934083	0	-5	5475	4404
LOC129934084	0	-5	5475	4404
LOC129934085	0	-5	5475	4404
LOC129934086	0	-5	5475	4404
LOC129934087	0	-5	5475	4404
LOC129934088	0	-5	5475	4404
LOC129934089	0	-5	5475	4404
LOC129934090	0	-5	5475	4404
LOC129934091	0	-5	5475	4404
LOC129934092	0	-5	5475	4404
LOC129934093	0	-5	5475	4404
LOC129934094	0	-5	5475	4404
LOC129934095	0	-5	5475	4404
LOC129934096	0	-5	5475	4404
LOC129934097	0	-5	5475	4404
LOC129934098	0	-5	5475	4404
LOC129934099	0	-5	5475	4404
LOC129934100	0	-5	5475	4404
LOC129934101	0	-5	5475	4404
LOC129934102	0	-5	5475	4404
LOC129934103	0	-5	5475	4404
LOC129934104	0	-5	5475	4404
LOC129934105	0	-5	5475	4404
LOC129934106	0	-5	5475	4404
LOC129934107	0	-5	5475	4404
LOC129934108	0	-5	5475	4404
LOC129934109	0	-5	5475	4404
LOC129934110	0	-5	5475	4404
LOC129934111	0	-5	5475	4404
LOC129934112	0	-5	5475	4404
LOC129934113	0	-5	5475	4404
LOC129934114	0	-5	5475	4404
LOC129934115	0	-5	5475	4404
LOC129934116	0	-5	5475	4404
LOC129934117	0	-5	5475	4404
LOC129934118	0	-5	5475	4404
LOC129934119	0	-5	5475	4404
LOC129934120	0	-5	5475	4404
LOC129934121	0	-5	5475	4404
LOC129934122	0	-5	5475	4404
LOC129934123	0	-5	5475	4404
LOC129934124	0	-5	5475	4404
LOC129934125	0	-5	5475	4404
LOC129934126	0	-5	5475	4404
LOC129934127	0	-5	5475	4404
LOC129934128	0	-5	5475	4404
LOC129934129	0	-5	5475	4404
LOC129934130	0	-5	5475	4404
LOC129934131	0	-5	5475	4404
LOC129934132	0	-5	5475	4404
LOC129934133	0	-5	5475	4404
LOC129934134	0	-5	5475	4404
LOC129934135	0	-5	5475	4404
LOC129934136	0	-5	5475	4404
LOC129934137	0	-5	5475	4404
LOC129934138	0	-5	5475	4404
LOC129934139	0	-5	5475	4404
LOC129934140	0	-5	5475	4404
LOC129934141	0	-5	5475	4404
LOC129934142	0	-5	5475	4404
LOC129934143	0	-5	5475	4404
LOC129934144	0	-5	5475	4404
LOC129934145	0	-5	5475	4404
LOC129934146	0	-5	5475	4404
LOC129934147	0	-5	5475	4404
LOC129934148	0	-5	5475	4404
LOC129934149	0	-5	5475	4404
LOC129934150	0	-5	5475	4404
LOC129934151	0	-5	5475	4404
LOC129934152	0	-5	5475	4404
LOC129934153	0	-5	5475	4404
LOC129934154	0	-5	5475	4404
LOC129934155	0	-5	5475	4404
LOC129934156	0	-5	5475	4404
LOC129934157	0	-5	5475	4404
LOC129934158	0	-5	5475	4404
LOC129934159	0	-5	5475	4404
LOC129934160	0	-5	5475	4404
LOC129934161	0	-5	5475	4404
LOC129934162	0	-5	5475	4404
LOC129934163	0	-5	5475	4404
LOC129934164	0	-5	5475	4404
LOC129934165	0	-5	5475	4404
LOC129934166	0	-5	5475	4404
LOC129934167	0	-5	5475	4404
LOC129934168	0	-5	5475	4404
LOC129934169	0	-5	5475	4404
LOC129934170	0	-5	5475	4404
LOC129934171	0	-5	5475	4404
LOC129934172	0	-5	5475	4404
LOC129934173	0	-5	5475	4404
LOC129934174	0	-5	5475	4404
LOC129934175	0	-5	5475	4404
LOC129934176	0	-5	5475	4404
LOC129934177	0	-5	5475	4404
LOC129934178	0	-5	5475	4404
LOC129934179	0	-5	5475	4404
LOC129934180	0	-5	5475	4404
LOC129934181	0	-5	5475	4404
LOC129934182	0	-5	5475	4404
LOC129934183	0	-5	5475	4404
LOC129934184	0	-5	5475	4404
LOC129934185	0	-5	5475	4404
LOC129934186	0	-5	5475	4404
LOC129934187	0	-5	5475	4404
LOC129934188	0	-5	5475	4404
LOC129934189	0	-5	5475	4404
LOC129934190	0	-5	5475	4404
LOC129934191	0	-5	5475	4404
LOC129934192	0	-5	5475	4404
LOC129934193	0	-5	5475	4404
LOC129934194	0	-5	5475	4404
LOC129934195	0	-5	5475	4404
LOC129934196	0	-5	5475	4404
LOC129934197	0	-5	5475	4404
LOC129934198	0	-5	5475	4404
LOC129934199	0	-5	5475	4404
LOC129934200	0	-5	5475	4404
LOC129934201	0	-5	5475	4404
LOC129934202	0	-5	5475	4404
LOC129934203	0	-5	5475	4404
LOC129934204	0	-5	5475	4404
LOC129934205	0	-5	5475	4404
LOC129934206	0	-5	5475	4404
LOC129934207	0	-5	5475	4404
LOC129934208	0	-5	5475	4404
LOC129934209	0	-5	5475	4404
LOC129934210	0	-5	5475	4404
LOC129934211	0	-5	5475	4404
LOC129934212	0	-5	5475	4404
LOC129934213	0	-5	5475	4404
LOC129934214	0	-5	5475	4404
LOC129934215	0	-5	5475	4404
LOC129934216	0	-5	5475	4404
LOC129934217	0	-5	5475	4404
LOC129934218	0	-5	5475	4404
LOC129934219	0	-5	5475	4404
LOC129934220	0	-5	5475	4404
LOC129934221	0	-5	5475	4404
LOC129934222	0	-5	5475	4404
LOC129934223	0	-5	5475	4404
LOC129934224	0	-5	5475	4404
LOC129934225	0	-5	5475	4404
LOC129934226	0	-5	5475	4404
LOC129934227	0	-5	5475	4404
LOC129934228	0	-5	5475	4404
LOC129934229	0	-5	5475	4404
LOC129934230	0	-5	5475	4404
LOC129934231	0	-5	5475	4404
LOC129934232	0	-5	5475	4404
LOC129934233	0	-5	5475	4404
LOC129934234	0	-5	5475	4404
LOC129934235	0	-5	5475	4404
LOC129934236	0	-5	5475	4404
LOC129934237	0	-5	5475	4404
LOC129934238	0	-5	5475	4404
LOC129934239	0	-5	5475	4404
LOC129934240	0	-5	5475	4404
LOC129934241	0	-5	5475	4404
LOC129934242	0	-5	5475	4404
LOC129934243	0	-5	5475	4404
LOC129934244	0	-5	5475	4404
LOC129934245	0	-5	5475	4404
LOC129934246	0	-5	5475	4404
LOC129934247	0	-5	5475	4404
LOC129934248	0	-5	5475	4404
LOC129934249	0	-5	5475	4404
LOC129934250	0	-5	5475	4404
LOC129934251	0	-5	5475	4404
LOC129934252	0	-5	5475	4404
LOC129934253	0	-5	5475	4404
LOC129934254	0	-5	5475	4404
LOC129934255	0	-5	5475	4404
LOC129934256	0	-5	5475	4404
LOC129934257	0	-5	5475	4404
LOC129934258	0	-5	5475	4404
LOC129934259	0	-5	5475	4404
LOC129934260	0	-5	5475	4404
LOC129934261	0	-5	5475	4404
LOC129934262	0	-5	5475	4404
LOC129934263	0	-5	5475	4404
LOC129934264	0	-5	5475	4404
LOC129934265	0	-5	5475	4404
LOC129934266	0	-5	5475	4404
LOC129934267	0	-5	5475	4404
LOC129934268	0	-5	5475	4404
LOC129934269	0	-5	5475	4404
LOC129934270	0	-5	5475	4404
LOC129934271	0	-5	5475	4404
LOC129934272	0	-5	5475	4404
LOC129934273	0	-5	5475	4404
LOC129934274	0	-5	5475	4404
LOC129934275	0	-5	5475	4404
LOC129934276	0	-5	5475	4404
LOC129934277	0	-5	5475	4404
LOC129934278	0	-5	5475	4404
LOC129934279	0	-5	5475	4404
LOC129934280	0	-5	5475	4404
LOC129934281	0	-5	5475	4404
LOC129934282	0	-5	5475	4404
LOC129934283	0	-5	5475	4404
LOC129934284	0	-5	5475	4404
LOC129934285	0	-5	5475	4404
LOC129934286	0	-5	5475	4404
LOC129934287	0	-5	5475	4404
LOC129934288	0	-5	5475	4404
LOC129934289	0	-5	5475	4404
LOC129934290	0	-5	5475	4404
LOC129934291	0	-5	5475	4404
LOC129934292	0	-5	5475	4404
LOC129934293	0	-5	5475	4404
LOC129934294	0	-5	5475	4404
LOC129934295	0	-5	5475	4404
LOC129934296	0	-5	5475	4404
LOC129934297	0	-5	5475	4404
LOC129934298	0	-5	5475	4404
LOC129934299	0	-5	5475	4404
LOC129934300	0	-5	5475	4404
LOC129934301	0	-5	5475	4404
LOC129934302	0	-5	5475	4404
LOC129934303	0	-5	5475	4404
LOC129934304	0	-5	5475	4404
LOC129934305	0	-5	5475	4404
LOC129934306	0	-5	5475	4404
LOC129934307	0	-5	5475	4404
LOC129934308	0	-5	5475	4404
LOC129934309	0	-5	5475	4404
LOC129934310	0	-5	5475	4404
LOC129934311	0	-5	5475	4404
LOC129934312	0	-5	5475	4404
LOC129934313	0	-5	5475	4404
LOC129934314	0	-5	5475	4404
LOC129934315	0	-5	5475	4404
LOC129934316	0	-5	5475	4404
LOC129934317	0	-5	5475	4404
LOC129934318	0	-5	5475	4404
LOC129934319	0	-5	5475	4404
LOC129934320	0	-5	5475	4404
LOC129934321	0	-5	5475	4404
LOC129934322	0	-5	5475	4404
LOC129934323	0	-5	5475	4404
LOC129934324	0	-5	5475	4404
LOC129934325	0	-5	5475	4404
LOC129934326	0	-5	5475	4404
LOC129934327	0	-5	5475	4404
LOC129934328	0	-5	5475	4404
LOC129934329	0	-5	5475	4404
LOC129934330	0	-5	5475	4404
LOC129934331	0	-5	5475	4404
LOC129934332	0	-5	5475	4404
LOC129934333	0	-5	5475	4404
LOC129934334	0	-5	5475	4404
LOC129934335	0	-5	5475	4404
LOC129934336	0	-5	5475	4404
LOC129934337	0	-5	5475	4404
LOC129934338	0	-5	5475	4404
LOC129934339	0	-5	5475	4404
LOC129934340	0	-5	5475	4404
LOC129934341	0	-5	5475	4404
LOC129934342	0	-5	5475	4404
LOC129934343	0	-5	5475	4404
LOC129934344	0	-5	5475	4404
LOC129934345	0	-5	5475	4404
LOC129934346	0	-5	5475	4404
LOC129934347	0	-5	5475	4404
LOC129934348	0	-5	5475	4404
LOC129934349	0	-5	5475	4404
LOC129934350	0	-5	5475	4404
LOC129934351	0	-5	5475	4404
LOC129934352	0	-5	5475	4404
LOC129934353	0	-5	5475	4404
LOC129934354	0	-5	5475	4404
LOC129934355	0	-5	5475	4404
LOC129934356	0	-5	5475	4404
LOC129934357	0	-5	5475	4404
LOC129934358	0	-5	5475	4404
LOC129934359	0	-5	5475	4404
LOC129934360	0	-5	5475	4404
LOC129934361	0	-5	5475	4404
LOC129934362	0	-5	5475	4404
LOC129934363	0	-5	5475	4404
LOC129934364	0	-5	5475	4404
LOC129934365	0	-5	5475	4404
LOC129934366	0	-5	5475	4404
LOC129934367	0	-5	5475	4404
LOC129934368	0	-5	5475	4404
LOC129934369	0	-5	5475	4404
LOC129934370	0	-5	5475	4404
LOC129934371	0	-5	5475	4404
LOC129934372	0	-5	5475	4404
LOC129934373	0	-5	5475	4404
LOC129934374	0	-5	5475	4404
LOC129934375	0	-5	5475	4404
LOC129934376	0	-5	5475	4404
LOC129934377	0	-5	5475	4404
LOC129934378	0	-5	5475	4404
LOC129934379	0	-5	5475	4404
LOC129934380	0	-5	5475	4404
LOC129934381	0	-5	5475	4404
LOC129934382	0	-5	5475	4404
LOC129934383	0	-5	5475	4404
LOC129934384	0	-5	5475	4404
LOC129934385	0	-5	5475	4404
LOC129934386	0	-5	5475	4404
LOC129934387	0	-5	5475	4404
LOC129934388	0	-5	5475	4404
LOC129934389	0	-5	5475	4404
LOC129934390	0	-5	5475	4404
LOC129934391	0	-5	5475	4404
LOC129934392	0	-5	5475	4404
LOC129934393	0	-5	5475	4404
LOC129934394	0	-5	5475	4404
